text,expert_label,llama_label,outlet,topic
"Biel is merely the latest Hollywood celebrity to lend their support to the controversial anti-vaccine movement, which has been outright rejected and criticized by the scientific community.",1,0,breitbart,vaccines
"Even if Trump is “unraveling” as Never Trumpers are wont to claim, his supporters won’t disappear on November 4th. George Will and the leftists many Never Trumpers now ally themselves with must reconcile their perception of the American people with reality.",1,0,federalist,trump-presidency
"King’s defense understandably rang hollow, as he has a long history of making comments ranging from insensitive to downright unacceptable.",1,1,federalist,white-nationalism
President Vladimir Putin has proposed amending the Russian constitution to spell out that marriage means a union between a man and a woman and nothing else.,0,1,reuters,gender
"With Democrats fuming over Trump's push for a border wall amid a still-unresolved funding standoff, those guest lists signal the president could face a tough crowd.",0,0,federalist,gun-control
"But Sanders’ growing popularity – even after expressing sympathetic views of Castro and other authoritarian regimes – underscores a problem for Florida Democrats, especially in South Florida, which has a large number of Cubans, Venezuelans and Nicaraguans whose families suffered under dictators.",0,0,fox-news,immigration
"Hungarian Prime Minister Viktor Orban, a staunch anti-immigrant populist, said on Wednesday a new wave of migrants trying to cross the border from Turkey into the European Union must be stopped as far south as possible and his government was ready to help frontline Greece.",1,1,reuters,immigration
"Hungarian Prime Minister Viktor Orbán also denounced the policy of Chancellor Angela Merkel and the attitude of the German media, which “are constantly pushing” for Europe to welcome more and more migrants, in opposition to the will of the Hungarian people.",0,1,breitbart,immigration
"With the Olympic Games postponed until 2021 and cinemas closed across the country, whole segments of the advertising market have evaporated.",0,0,msnbc,sport
"One of the things that makes Alabama’s measure extraordinary is its radical simplicity: it simply bans all abortions, at every stage of pregnancy.",1,1,msnbc,abortion
Fox News has gone so deep into white nationalism that Donald Trump now believes it’s how he’ll win in 2020,1,1,alternet,white-nationalism
"Loeffler blamed leftist media, especially the Daily Beast, for perpetuating narratives that she might have violated statutes against insider trading. She continued, noting that the media created the narrative against her because, like President Donald Trump, she is a political outsider.",0,1,breitbart,elections-2020
"President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion, but partisan division in the U.S. Congress means the Supreme Court likely will set the agenda on the divisive issue, as it has for decades.",0,0,reuters,abortion
"Whatever the specifics of what Donald Trump’s diagnosis may be, from the moment protesters started to hit the streets to denounce police brutality, one thing was certain: The president’s brainworms would direct his energies away from doing anything useful and toward the task of managing his ego, relying on the reality TV tricks he mistakes for the real work of presidenting.",1,1,alternet,trump-presidency
"All but seven House Democrats voted Friday for a bill which ends legal and civic rights for women by allowing men who say they are transgender to freely use women’s legal rights, sports leagues, institutions, and private spaces.",0,1,breitbart,gender
"As Santa Claus loads his sleigh led by flying reindeer, climate change proponents are spreading the story of the animals’ plight because of global warming.",0,1,breitbart,environment
"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. ",1,1,alternet,sport
"Multiple studies have attempted to translate the New Green Deal resolution's pledges into concrete policies, but often claim to significantly underestimate the actual costs due to the resolution's vagueness.",0,0,fox-news,environment
